id,created_at,model,price_per_token,provider
1,2025-01-01T00:00:00Z,gpt-5.2,0.00000175,openai
2,2025-01-01T00:00:00Z,gpt-5.1,0.00000125,openai
3,2025-01-01T00:00:00Z,gpt-5,0.00000125,openai
4,2025-01-01T00:00:00Z,gpt-5-mini,0.00000025,openai
5,2025-01-01T00:00:00Z,gpt-5-nano,0.00000005,openai
6,2025-01-01T00:00:00Z,gpt-5.2-chat-latest,0.00000175,openai
7,2025-01-01T00:00:00Z,gpt-5.1-chat-latest,0.00000125,openai
8,2025-01-01T00:00:00Z,gpt-5-chat-latest,0.00000125,openai
9,2025-01-01T00:00:00Z,gpt-5.2-codex,0.00000175,openai
10,2025-01-01T00:00:00Z,gpt-5.1-codex-max,0.00000125,openai
11,2025-01-01T00:00:00Z,gpt-5.1-codex,0.00000125,openai
12,2025-01-01T00:00:00Z,gpt-5-codex,0.00000125,openai
13,2025-01-01T00:00:00Z,gpt-5.2-pro,0.000021,openai
14,2025-01-01T00:00:00Z,gpt-5-pro,0.000015,openai
15,2025-01-01T00:00:00Z,gpt-4.1,0.000002,openai
16,2025-01-01T00:00:00Z,gpt-4.1-mini,0.0000004,openai
17,2025-01-01T00:00:00Z,gpt-4.1-nano,0.0000001,openai
18,2025-01-01T00:00:00Z,gpt-4o,0.0000025,openai
19,2025-01-01T00:00:00Z,gpt-4o-2024-05-13,0.000005,openai
20,2025-01-01T00:00:00Z,gpt-4o-mini,0.00000015,openai
21,2025-01-01T00:00:00Z,gpt-realtime,0.000004,openai
22,2025-01-01T00:00:00Z,gpt-realtime-mini,0.0000006,openai
23,2025-01-01T00:00:00Z,gpt-4o-realtime-preview,0.000005,openai
24,2025-01-01T00:00:00Z,gpt-4o-mini-realtime-preview,0.0000006,openai
25,2025-01-01T00:00:00Z,gpt-audio,0.0000025,openai
26,2025-01-01T00:00:00Z,gpt-audio-mini,0.0000006,openai
27,2025-01-01T00:00:00Z,gpt-4o-audio-preview,0.0000025,openai
28,2025-01-01T00:00:00Z,gpt-4o-mini-audio-preview,0.00000015,openai
29,2025-01-01T00:00:00Z,o1,0.000015,openai
30,2025-01-01T00:00:00Z,o1-pro,0.00015,openai
31,2025-01-01T00:00:00Z,o3-pro,0.00002,openai
32,2025-01-01T00:00:00Z,o3,0.000002,openai
33,2025-01-01T00:00:00Z,o3-deep-research,0.00001,openai
34,2025-01-01T00:00:00Z,o4-mini,0.0000011,openai
35,2025-01-01T00:00:00Z,o4-mini-deep-research,0.000002,openai
36,2025-01-01T00:00:00Z,o3-mini,0.0000011,openai
37,2025-01-01T00:00:00Z,o1-mini,0.0000011,openai
38,2025-01-01T00:00:00Z,gpt-5.1-codex-mini,0.00000025,openai
39,2025-01-01T00:00:00Z,codex-mini-latest,0.0000015,openai
40,2025-01-01T00:00:00Z,gpt-5-search-api,0.00000125,openai
41,2025-01-01T00:00:00Z,gpt-4o-mini-search-preview,0.00000015,openai
42,2025-01-01T00:00:00Z,gpt-4o-search-preview,0.0000025,openai
43,2025-01-01T00:00:00Z,computer-use-preview,0.000003,openai
44,2025-01-01T00:00:00Z,gpt-image-1.5,0.000005,openai
45,2025-01-01T00:00:00Z,chatgpt-image-latest,0.000005,openai
46,2025-01-01T00:00:00Z,gpt-image-1,0.000005,openai
47,2025-01-01T00:00:00Z,gpt-image-1-mini,0.000002,openai
48,2025-01-01T00:00:00Z,claude-opus-4.6,0.000005,anthropic
49,2025-01-01T00:00:00Z,claude-opus-4.5,0.000005,anthropic
50,2025-01-01T00:00:00Z,claude-opus-4.1,0.000015,anthropic
51,2025-01-01T00:00:00Z,claude-opus-4,0.000015,anthropic
52,2025-01-01T00:00:00Z,claude-sonnet-4.6,0.000003,anthropic
53,2025-01-01T00:00:00Z,claude-sonnet-4.5,0.000003,anthropic
54,2025-01-01T00:00:00Z,claude-sonnet-4,0.000003,anthropic
55,2025-01-01T00:00:00Z,claude-sonnet-3.7-deprecated,0.000003,anthropic
56,2025-01-01T00:00:00Z,claude-haiku-4.5,0.000001,anthropic
57,2025-01-01T00:00:00Z,claude-haiku-3.5,0.0000008,anthropic
58,2025-01-01T00:00:00Z,claude-opus-3-deprecated,0.000015,anthropic
59,2025-01-01T00:00:00Z,claude-haiku-3,0.00000025,anthropic
60,2025-01-01T00:00:00Z,deepseek-chat,0.00000028,deepseek
61,2025-01-01T00:00:00Z,deepseek-reasoner,0.00000028,deepseek
62,2025-01-01T00:00:00Z,gemini-3.1-pro-preview,0.000002,gemini
63,2025-01-01T00:00:00Z,gemini-3.1-pro-preview-customtools,0.000002,gemini
64,2025-01-01T00:00:00Z,gemini-3-pro-preview,0.000002,gemini
65,2025-01-01T00:00:00Z,gemini-3-flash-preview,0.0000005,gemini
66,2025-01-01T00:00:00Z,gemini-3-pro-image-preview,0.000002,gemini
67,2025-01-01T00:00:00Z,gemini-2.5-pro,0.00000125,gemini
68,2025-01-01T00:00:00Z,gemini-2.5-flash,0.0000003,gemini
69,2025-01-01T00:00:00Z,gemini-2.5-flash-lite,0.0000001,gemini
70,2025-01-01T00:00:00Z,gemini-2.5-flash-lite-preview-09-2025,0.0000001,gemini
71,2025-01-01T00:00:00Z,gemini-2.5-flash-native-audio-preview-12-2025,0.0000005,gemini
72,2025-01-01T00:00:00Z,gemini-2.5-flash-image,0.0000003,gemini
73,2025-01-01T00:00:00Z,gemini-2.5-flash-preview-tts,0.0000005,gemini
74,2025-01-01T00:00:00Z,gemini-2.5-pro-preview-tts,0.000001,gemini
75,2025-01-01T00:00:00Z,gemini-2.0-flash,0.0000001,gemini
